Date and Time Downloaded : 03/15/2020 12:18:17 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000901","901","SAN SEBASTIAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","47 PLAZA DEL CARMEN"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","QUIAPO","133903000","BARANGAY 390","133903010"," ","+63 027348754"," "," "," "," "," ","PADERANGA","AGNES"," ","Rural Health Physician","","",""
"DOH000000000000906","906","TALA HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","BACK OF POST OFFICE, GLORIETTA, TALA"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 188","137501188"," "," "," "," "," "," "," ","DELARIARTE","CHARO"," ","Rural Health Physician","","",""
"DOH000000000000908","908","TALON IV HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","SAMPAGUITA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","TALON KUATRO","137601019"," ","+63 028011862"," "," "," "," "," ","CALINISAN","BIENVENIDO"," ","Rural Health Physician","","",""
"DOH000000000000909","909","TALON V RURAL HEALTH UNIT (MOONWALK RURAL HEALTH UNIT )"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","APOLLO IV STREET, MOONWALK VILLAGE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","TALON SINGKO","137601020"," ","+63 028006165"," "," "," "," "," ","DE MESA","LEAH MYRA"," ","Rural Health Physician","","",""
"DOH000000000000914","914","UPPER BICUTAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PUROK 4"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","TAGUIG CITY","137607000","UPPER BICUTAN","137607015"," "," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000915","915","USUSAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","TOMASA AVENUE TOMASA SUBDIVISION"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","TAGUIG CITY","137607000","USUSAN","137607016"," "," "," "," "," "," "," ","LACSINA","MARIA EVELYN","ROQUE","Rural Health Physician","","",""
"DOH000000000000916","916","VEINTE REALES HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","C. MOLINA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF VALENZUELA","137504000","VIENTE REALES","137504031"," "," "," "," "," "," "," ","MIRANDA","IRVIN"," "," ","","",""
"DOH000000000000918","918","VITAS HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","VIB COMPOUND, VITAS STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","TONDO I / II","133901000","BARANGAY 101","133901101"," ","+63 022530054"," "," "," "," "," ","QUIJANO-AQUINO","MARY GRACE"," ","Rural Health Physician","","",""
"DOH000000000000919","919","WESTERN BICUTAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","SERVICE ROAD"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","TAGUIG CITY","137607000","WESTERN BICUTAN","137607018"," "," "," "," "," "," "," ","MALIPOT","MARIGEN","CODILLA","Rural Health Physician","","",""
"DOH000000000000928","928","PAMPLONA III HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","VERDANT ACRES"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","PAMPLONA TRES","137601014"," ","+63 028729664"," "," "," "," "," ","SALCEDO","ODHYLON"," ","Rural Health Physician","","",""
"DOH000000000000931","931","CORAZON DE JESUS HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","480 LIUTENANT ARTIAGA STREET CORNER P. NARCISO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","CORAZON DE JESUS","137405004","1500","+63 024127290","","","","","","MELCHOR","LEAH","GRANADOS","Medical Officer","","",""
"DOH000000000001346","1346","PEMBO HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","SAMPAGUITA CORNER SANTAN STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MAKATI","137602000","PEMBO","137602016","","+63 027581398","","","","","","SEVILLA","CLARISSA","TEMPLONUEVO","Rural Health Physician","","",""
"DOH000000000001435","1435","SANTA LUCIA MINI FLOODWAY HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","EASTBANK ROAD"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SANTA LUCIA","137403030"," "," "," "," "," "," "," ","DIVINO","MARIA TERESA"," ","Rural Health Physician","","",""
"DOH000000000001436","1436","MANGGAHAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","EASTBANK FLOODWAY"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MANGGAHAN","137403011"," "," "," "," "," "," "," ","POBLETE","JOSE"," "," ","","",""
"DOH000000000001445","1445","SANTO TOMAS HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","LB JOSE STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SANTO TOMAS","137403026"," ","+63 026281025"," "," "," "," "," ","ORDINARIO","MARJORIE"," ","Rural Health Physician","","",""
"DOH000000000001447","1447","LAGRO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","BLOCK 47 LOT 1 , ASCENSION AVENUE, LAGRO SUBDIVISION"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","GREATER LAGRO","137404141"," ","+63 029308815"," "," "," "," "," ","ROLDAN","ELLANI","A.","Rural Health Physician","","",""
"DOH000000000001449","1449","LA PAZ HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","815 ARCHIMEDES STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MAKATI","137602000","LA PAZ","137602012","","+63 028908952","","","","","","CAMPOS","RAMON","BARETTO","Rural Health Physician","","",""
"DOH000000000001452","1452","SAN ANTONIO HEALTH CENTER","SAN ANTONIO PUERICULTURE CENTER"," "," ","Rural Health Unit","Government","Local Government Unit"," ","8456 MAYAPIS STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MAKATI","137602000","SAN ANTONIO","137602023"," ","+63 028972626"," "," "," "," "," ","ALEBIN","NOR ANN","D.","Rural Health Physician","","",""
"DOH000000000001462","1462","SAN ISIDRO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","A. SANTOS AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","SAN ISIDRO","137604013"," ","+63 028200837"," ","+63 028293557"," "," "," ","ORANTIA","YOLANDA"," ","Rural Health Physician","","",""
"DOH000000000001463","1463","DON BOSCO HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","CEYLON STREET, BETTER LIVING SUBDIVISION","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","DON BOSCO","137604008","","+63 028236977","","","","","","RILLO","MARY AGNES","","Rural Health Physician","","",""
"DOH000000000001464","1464","PINAGKAISAHAN HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","DANLIG STREET CORNER TOLENTINO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MAKATI","137602000","PINAGKAISAHAN","137602017","","+63 028818128","","","","","","BORJA","LEERON GREG","GUEVARRA","Rural Health Physician","","",""
"DOH000000000001466","1466","SAGAD HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","ANGELES STREET CORNER FELICIANO STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SAGAD","137403018"," ","+63 026280227"," "," "," "," "," ","SANTIAGO","ROWENA"," ","Rural Health Physician","","",""
"DOH000000000001467","1467","KARANGALAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","KAGINHAWAHAN STREET KARANGALAN VILLAGE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MANGGAHAN","137403011"," "," "," "," ","karangalanhealthcenter@yahoo.com"," "," ","GARCIA","MARLENE"," ","Rural Health Physician","","",""
"DOH000000000001469","1469","BAGONG ILOG HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","SGT. PASCUA STREET (POOK MALIGAYA)"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","BAGONG ILOG","137403001"," ","+63 026710681"," "," ","bgiloghc@yahoo.com"," "," ","PILAPIL","MA. SOCORRO"," ","Rural Health Physician","","",""
"DOH000000000001470","1470","PEDRO CRUZ HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","123 F. SEVILLA STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","PEDRO CRUZ","137405013","1500","+63 027995069","","","","","","MELCHOR","LEAH","GRANADOS","Medical Officer","","",""
"DOH000000000001471","1471","NAPICO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","AMPALAYA STREET NAPICO"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MANGGAHAN","137403011"," "," "," "," "," "," "," ","BUMANLAG","DANILO"," ","Rural Health Physician","","",""
"DOH000000000001474","1474","BANGCULASI HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","ALPHA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF NAVOTAS","137503000","BANGCULASI","137503004","1485","+63 022818732"," "," "," "," "," ","GELERA","FLORENCE","O.","Rural Health Physician","","",""
"DOH000000000001475","1475","ISMAR HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","SAMPAGUITA ROAD ISMAR"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","KALAWAAN","137403007"," ","+63 026425648"," "," "," "," "," ","LU","WILFREDO"," ","Rural Health Physician","","",""
"DOH000000000001477","1477","BAGONG ILOG PUERICULTURE CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","M. FLORES CORNER AVIS STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","BAGONG ILOG","137403001"," "," "," "," "," "," "," ","TUAZON","LA VERNE"," ","Rural Health Physician","","",""
"DOH000000000001478","1478","CANIOGAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","KALINANGAN STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","CANIOGAN","137403005"," ","+63 026415110"," "," ","canioganhc@yahoo.com"," "," ","YBIERNAS","MARICHU"," ","Rural Health Physician","","",""
"DOH000000000001480","1480","LITTLE BAGUIO HEALTH CENTER","","","","Barangay Health Station","Government","Local Government Unit","","ALVIR STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","LITTLE BAGUIO","137405009","1500","+63 024012306","","","","","","DE LARA","AGNES","","Rural Health Physician","Not Applicable","",""
"DOH000000000001481","1481","KAPITOLYO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","SANTA ISABEL CORNER SANTA ROSA BARRIO"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","KAPITOLYO","137403009"," ","+63 026314397"," "," "," "," "," ","SUMULONG","JODELLY ANN"," ","Rural Health Physician","","",""
"DOH000000000001483","1483","WEST CRAME HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","ROAD 10 CORNER ROAD 6","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","WEST CRAME","137405020","1500","+63 024108471","","","","","","BATI","NICETO","FLORES","Medical Officer","","",""
"DOH000000000001485","1485","PASADEÑA HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","187 F. BENITEZ STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","PASADEÑA","137405012","1500"," "," "," ","barangaypasadena@yahoo.com"," "," "," "," "," "," ","","",""
"DOH000000000001486","1486","SANTA LUCIA HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","1 B.S. ANGELES STREET","PAARALANG ELEMENTARYA NG STA. LUCIA","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","SANTA LUCIA","137405018","1500","","","","healthcenterstalucia@gmail.com","","","DE LARA","AGNES","DECENA","Medical Officer","","",""
"DOH000000000001487","1487","SANTA LUCIA HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","CAMIA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SANTA LUCIA","137403030"," "," "," "," "," "," "," ","DEL ROSARIO","NELLIE"," ","Rural Health Physician","","",""
"DOH000000000001488","1488","MAYBUNGA HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","DR. SIXTO ANTONIO AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","MAYBUNGA","137403012"," ","+63 026428645"," "," "," "," "," ","MANUEL","SOCRATES"," ","Rural Health Physician","","",""
"DOH000000000001493","1493","SAN JUAN CITY HEALTH OFFICE I","SAN JUAN CITY HEALTH OFFICE"," "," ","Rural Health Unit","Government","Local Government Unit"," ","F. SEVILLA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","PEDRO CRUZ","137405013","1500","+63 027995069"," ","+63 027995069","lacandola@yahoo.com"," "," ","LACANDOLA","VICTOR"," ","City Health Officer","","",""
"DOH000000000001505","1505","PIO DEL PILAR RURAL HEALTH UNIT","PIO DEL PILAR HEALTH CENTER"," "," ","Rural Health Unit","Government","Local Government Unit"," ","APOLINARIO STREET CORNER ARGUELLES STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MAKATI","137602000","PIO DEL PILAR","137602018"," ","+63 028450622"," "," "," "," "," ","RIVERO","JANE","T.","Rural Health Physician","","",""
"DOH000000000001512","1512","TAÑONG HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PHASE 3"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF MALABON","137502000","TAÑONG (POB.)","137502018","1470"," "," "," "," "," "," ","CONEJOS","LILIA","CIPRIANO","Rural Health Physician","","",""
"DOH000000000001691","1691","BUTING HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","2 CONCHING STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","BUTING","137403004"," ","+63 026411440"," "," ","butinghc@yahoo.com"," "," ","PILAPIL","MA. SOCORRO"," ","Rural Health Physician","","",""
"DOH000000000001794","1794","SAN RAMON HOSPITAL","","","","Infirmary","Private","","","38 GEN. ORDOÑEZ STREET, RANCHO ESTATE IV","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MARIKINA","137402000","CONCEPCION DOS","137402012","","+63 029418040","","","","","","MARASIGAN","GIL","M.","Medical Director","With License","",""
"DOH000000000001801","1801","SUNRISE HILL THERAPEUTIC COMMUNITY HOSPITAL","","","","Hospital","Private","","","20 11TH STREET, NEW MANILA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","","","","+63 027246128","","+63 024121818","","","","DELA FUENTE","DR. EVANGALINE","B.","Chief of Hospital","Without License","",""
"DOH000000000001834","1834","BARANGAY 12 HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","BANGAYNGAY STREET, DAGAT-DAGATAN"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY  12","137501012"," "," "," "," "," "," "," ","LAO","JAMES","D.","Rural Health Physician","","",""
"DOH000000000001842","1842","BAGO BANTAY HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","BUKIDNON STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","ALICIA","137404001"," "," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000001876","1876","MALANDAY HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","I. MARCELO STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF VALENZUELA","137504000","MALANDAY","137504016"," ","+63 022946951"," "," "," "," "," ","BANDOLA","PRISCILLA"," "," ","","",""
"DOH000000000001919","1919","CARDINAL SANTOS MEDICAL CENTER","","","","Hospital","Private","","","WILSON STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF SAN JUAN","137405000","GREENHILLS","137405021","1500","+63 027250001","","+63 027270050","medicalaffairsdivision@yahoo.com","","","JAVIER-UY","ZENAIDA","M.","Medical Director","With License","Level 3","245"
"DOH000000000001925","1925","PANSOL HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PLAZA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","PANSOL","137404077"," ","+63 029235236"," "," "," "," "," ","ALISUAG","CHARISSA","L.","Rural Health Physician","","",""
"DOH000000000001936","1936","JOSE FABELLA HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","1004 FERMIN STREET SINGALONG"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","MALATE","133910000","BARANGAY 724","133910039"," ","+63 025232857"," "," "," "," "," ","RADOVAN JR.","DOMINGO"," ","Rural Health Physician","","",""
"DOH000000000001944","1944","TUNASAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","E.RODRIGUEZ AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MUNTINLUPA","137603000","TUNASAN","137603008"," ","+63 028612849"," "," "," "," "," ","ARCIAGA","DR. CLEOFE","SAAVEDRA","Rural Health Physician","","",""
"DOH000000000001949","1949","BIGNAY HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","HULO STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF VALENZUELA","137504000","BIGNAY","137504005"," ","+63 029840291"," "," "," "," "," ","GALLENERO","SER BYRON"," "," ","","",""
"DOH000000000001981","1981","NATIONAL KIDNEY AND TRANSPLANT INSTITUTE","","","","Hospital","Government","Department Of Health","","EAST AVENUE, DILIMAN","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","CENTRAL","137404020","","+63 029810330","+63 029240701","+63 029225608","","","WWW.NKTI.GOV.PH","DATOR","JOSE DANTE","P.","Medical Director","With License","Level 3","315"
"DOH000000000001993","1993","SUMILANG HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","KALAYAAN STREET, OLD BARANGAY HALL"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SUMILANG","137403028"," ","+63 026416800"," "," "," "," "," ","MEJILLA","ESTELA"," ","Rural Health Physician","","",""
"DOH000000000002007","2007","PASOLO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","DREAMLAND SUBDIVISION"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CITY OF VALENZUELA","137504000","PASOLO","137504024"," "," "," "," "," "," "," ","DEATO","MIRIAM"," "," ","","",""
"DOH000000000002016","2016","CAMARIN 175 HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","LIBIS STREET, AREA A CAMARIN","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 175","137501175","","","","","","","","FERNANDEZ","MA. LEONORA","","Rural Health Physician","","",""
"DOH000000000002076","2076","BF HOMES HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","CONRADO BENITEZ STREET PHASE III","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","B. F. HOMES","137604007","","+63 028266358","","","","","","SAMPOL","CYNTHIA","","Rural Health Physician","","",""
"DOH000000000002174","2174","OLIVAREZ GENERAL HOSPITAL","","","","Hospital","Private","","","DR. A. SANTOS AVENUE, SUCAT ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF PARA?AQUE","137604000","SAN DIONISIO","137604004","","+63 028258747","","","","","","OLIVAREZ-ORTEZA","IMELDA","C.","Medical Director","With License","Level 1","50"
"DOH000000000002218","2218","TALON II HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","CYNTHIA UGALDE STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","TALON DOS","137601017"," ","+63 028728140"," "," "," "," "," ","JUNIO","JEFFREY EVARISTO"," ","Rural Health Physician","","",""
"DOH000000000002232","2232","RESEARCH INSTITUTE FOR TROPICAL MEDICINE","","","","Hospital","Government","Department Of Health","","FILINVEST CORPORATE CITY","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MUNTINLUPA","137603000","ALABANG","137603001","","+63 028072628","+63 028097599","+63 028422245","","","","LUPISAN","SOCORRO","P.","Chief of Hospital","With License","Level 3","50"
"DOH000000000002237","2237","ALABANG HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","LIWASAN NG MGA BAYANI"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MUNTINLUPA","137603000","ALABANG","137603001"," "," "," "," "," "," "," ","UÑALIVIA","DR. LYDIA","REYES","Rural Health Physician","","",""
"DOH000000000002238","2238","MAHARLIKA VILLAGE HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","1 PANANGAN PANGANDAMAN JR. STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","TAGUIG CITY","137607000","MAHARLIKA VILLAGE","137607009"," ","+63 028377002"," ","+63 028391808","tatabox8gp@gmail.com"," "," ","PANGANDAMAN","TARHATA","GARNACE","Rural Health Physician","","",""
"DOH000000000002244","2244","AIR FORCE GENERAL HOSPITAL","","","","Hospital","Government","Department of National Defense","","COL. JESUS VILLAMOR AIR BASE","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","PASAY CITY","137605000","BARANGAY 183","137605183","1309","+63 028546701","","+63 028546701","","","","MANUEL","JONATHAN","H.","Chief of Hospital","With License","Level 2","100"
"DOH000000000002245","2245","MEDICAL CENTER MUNTINLUPA, INC","","","","Hospital","Private","","","38 NATIONAL ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MUNTINLUPA","137603000","PUTATAN","137603006","","+63 028620162","","+63 028611687","","","","MARCELO","ARLENE","A.","Medical Director","With License","Level 2","95"
"DOH000000000002263","2263","M.C. ICASIANO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","1806 P. GIL STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)","133900000","PACO","133911000","BARANGAY 812","133911026"," ","+63 025640779"," "," "," "," "," ","MATEO","MELANIE"," ","Rural Health Physician","","",""
"DOH000000000002282","2282","MANUYO UNO HEALTH CENTER","MANUYO HEALTH CENTER"," "," ","Rural Health Unit","Government","Local Government Unit"," ","TRAMO ROAD"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF LAS PI?AS","137601000","MANUYO UNO","137601005"," ","+63 028267422"," "," ","manuyomo@gmail.com"," "," ","OCA","ROSARY"," ","Rural Health Physician","","",""
